"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Cxcl14"	0	2.38349114305742	0.905	0.353	0	"0"	"Cxcl14"
"Smoc2"	0	2.00615538013148	0.996	0.507	0	"0"	"Smoc2"
"Lum"	0	1.76970091659274	0.993	0.565	0	"0"	"Lum"
"Ccl11"	0	1.55671981009764	0.996	0.508	0	"0"	"Ccl11"
"Hsd11b1"	0	1.51809900882023	0.914	0.25	0	"0"	"Hsd11b1"
"Col15a1"	0	1.42248440689684	0.931	0.251	0	"0"	"Col15a1"
"Crispld2"	0	1.371530309603	0.899	0.32	0	"0"	"Crispld2"
"Angptl1"	0	1.34079812845524	0.912	0.358	0	"0"	"Angptl1"
"Col6a2"	0	1.23450375652111	0.967	0.44	0	"0"	"Col6a2"
"Itm2a"	0	1.1816406666803	0.969	0.523	0	"0"	"Itm2a"
"Itih5"	0	1.08988821035	0.951	0.432	0	"0"	"Itih5"
"Crlf1"	0	1.08900692164809	0.842	0.328	0	"0"	"Crlf1"
"Col6a3"	0	1.07385283307493	0.932	0.37	0	"0"	"Col6a3"
"Fbln7"	0	1.04798200299924	0.683	0.166	0	"0"	"Fbln7"
"F3"	0	1.04505961442631	0.93	0.431	0	"0"	"F3"
"Col3a1"	0	1.03566758182567	0.994	0.486	0	"0"	"Col3a1"
"Podn"	0	0.944244049131075	0.817	0.236	0	"0"	"Podn"
"Enpp2"	0	0.940688029730298	0.878	0.369	0	"0"	"Enpp2"
"Htra1"	0	0.921888614162932	0.891	0.441	0	"0"	"Htra1"
"Meg3"	0	0.901417920822449	0.882	0.457	0	"0"	"Meg3"
"Hmcn2"	0	0.878820767633742	0.82	0.276	0	"0"	"Hmcn2"
"Hspg2"	0	0.866401716237915	0.915	0.589	0	"0"	"Hspg2"
"Abca8a"	0	0.853950999006774	0.919	0.455	0	"0"	"Abca8a"
"Mme"	0	0.832690469809799	0.725	0.114	0	"0"	"Mme"
"Col4a1"	0	0.824627167036025	0.944	0.545	0	"0"	"Col4a1"
"Bgn"	0	0.803561286592143	0.9	0.452	0	"0"	"Bgn"
"Gpm6b"	0	0.798306157616211	0.782	0.293	0	"0"	"Gpm6b"
"Col5a3"	0	0.787540189681219	0.876	0.327	0	"0"	"Col5a3"
"Ces1d"	0	0.773061874178967	0.793	0.303	0	"0"	"Ces1d"
"Bmp5"	0	0.759780107621145	0.749	0.331	0	"0"	"Bmp5"
"Bmp4"	0	0.744762823273559	0.762	0.295	0	"0"	"Bmp4"
"Lamb1"	0	0.730531811622152	0.775	0.308	0	"0"	"Lamb1"
"Vwa1"	0	0.7099742097414	0.821	0.466	0	"0"	"Vwa1"
"Tgfbi"	0	0.708961024403099	0.831	0.426	0	"0"	"Tgfbi"
"Nupr1"	0	0.697200157859446	0.935	0.515	0	"0"	"Nupr1"
"Gas1"	0	0.676372985363609	0.883	0.446	0	"0"	"Gas1"
"Steap4"	0	0.661806711997618	0.812	0.345	0	"0"	"Steap4"
"Ctsk"	0	0.648787051784672	0.795	0.391	0	"0"	"Ctsk"
"Mgp"	0	0.643118043778466	0.893	0.541	0	"0"	"Mgp"
"Igf1"	0	0.621109908061731	0.795	0.307	0	"0"	"Igf1"
"Gpx3"	0	0.614893493011205	0.981	0.633	0	"0"	"Gpx3"
"Cygb"	0	0.598819357233806	0.917	0.503	0	"0"	"Cygb"
"Vtn"	0	0.575640835163145	0.775	0.374	0	"0"	"Vtn"
"Pdgfrl"	0	0.573266172900087	0.723	0.289	0	"0"	"Pdgfrl"
"Col4a2"	0	0.567414405407967	0.875	0.549	0	"0"	"Col4a2"
"Lsamp"	0	0.553857177191431	0.721	0.259	0	"0"	"Lsamp"
"Col1a2"	0	0.552035732943043	0.993	0.551	0	"0"	"Col1a2"
"Dpt"	0	0.505299837646493	0.948	0.506	0	"0"	"Dpt"
"Wisp2"	0	0.501450246814327	0.791	0.338	0	"0"	"Wisp2"
"Tppp3"	1.30531483299411e-299	0.614935542055048	0.949	0.611	2.61062966598822e-296	"0"	"Tppp3"
"Inmt"	1.93671361931046e-275	0.569119208271155	0.679	0.186	3.87342723862092e-272	"0"	"Inmt"
"Nmb"	4.19482887905339e-274	0.833424182923153	0.682	0.271	8.38965775810677e-271	"0"	"Nmb"
"Emp1"	1.76060447405183e-261	0.54260794649362	0.903	0.581	3.52120894810366e-258	"0"	"Emp1"
"Adm"	4.85663792841835e-256	0.721325971229482	0.749	0.357	9.71327585683669e-253	"0"	"Adm"
"Gem"	3.27768825478059e-252	0.65979229715634	0.79	0.401	6.55537650956119e-249	"0"	"Gem"
"Phlda1"	5.51343149700595e-243	0.719858340397914	0.832	0.444	1.10268629940119e-239	"0"	"Phlda1"
"Plau"	8.9125359572194e-237	0.555226526682839	0.668	0.276	1.78250719144388e-233	"0"	"Plau"
"G0s2"	2.22800786196698e-227	0.66151049715234	0.764	0.411	4.45601572393395e-224	"0"	"G0s2"
"Maged2"	5.37914238055368e-211	0.514696909185075	0.733	0.361	1.07582847611074e-207	"0"	"Maged2"
"Spry2"	4.62712815286651e-208	0.567549532033561	0.705	0.33	9.25425630573302e-205	"0"	"Spry2"
"Ifi205"	2.31310331939094e-190	0.528969533662299	0.691	0.285	4.62620663878188e-187	"0"	"Ifi205"
"Egr1"	2.1524475175463e-189	0.584601215735267	0.906	0.717	4.3048950350926e-186	"0"	"Egr1"
"Mfap2"	2.92756941794089e-188	0.518064140695199	0.691	0.347	5.85513883588179e-185	"0"	"Mfap2"
"Sult5a1"	8.44396848368418e-184	0.520166962657727	0.679	0.283	1.68879369673684e-180	"0"	"Sult5a1"
"Cxcl1"	4.9044210935424e-172	1.09188704340461	0.742	0.473	9.8088421870848e-169	"0"	"Cxcl1"
"Gfra1"	2.85269466761353e-140	0.523807304325405	0.536	0.108	5.70538933522705e-137	"0"	"Gfra1"
"P2ry1"	1.05210150105997e-94	0.513248145701655	0.523	0.163	2.10420300211994e-91	"0"	"P2ry1"
"Cpxm1"	5.1565361083361e-38	0.510974308319531	0.493	0.181	1.03130722166722e-34	"0"	"Cpxm1"
"Fabp4.1"	0	3.08379219051646	0.997	0.843	0	"1"	"Fabp4"
"Aqp1.1"	0	3.02359563711687	0.926	0.753	0	"1"	"Aqp1"
"Gpihbp1.1"	0	2.54791767335875	0.952	0.689	0	"1"	"Gpihbp1"
"Tspan13.1"	0	2.47055294087465	0.971	0.68	0	"1"	"Tspan13"
"Egfl7.1"	0	2.36285903892393	0.964	0.679	0	"1"	"Egfl7"
"Cd36.1"	0	2.34485664664953	0.973	0.698	0	"1"	"Cd36"
"Tcf15"	0	2.326616091665	0.942	0.681	0	"1"	"Tcf15"
"Sdpr.1"	0	2.30935236764244	0.972	0.617	0	"1"	"Sdpr"
"Cav1.1"	0	2.20562237378053	0.983	0.765	0	"1"	"Cav1"
"Timp4.1"	0	2.20078606095778	0.812	0.651	0	"1"	"Timp4"
"C1qtnf9.1"	0	2.18915144029992	0.89	0.66	0	"1"	"C1qtnf9"
"Cldn5"	0	2.18670305612453	0.78	0.658	0	"1"	"Cldn5"
"Rgcc.1"	0	2.16752736287115	0.925	0.647	0	"1"	"Rgcc"
"Esam.1"	0	2.07317025211824	0.921	0.675	0	"1"	"Esam"
"Cd300lg"	0	1.95564646625298	0.821	0.59	0	"1"	"Cd300lg"
"Cdh5.1"	0	1.94476260934099	0.9	0.662	0	"1"	"Cdh5"
"Id1.1"	0	1.92511564049799	0.854	0.677	0	"1"	"Id1"
"Aqp7.1"	0	1.89170777375211	0.759	0.516	0	"1"	"Aqp7"
"Emcn"	0	1.8764662711675	0.789	0.62	0	"1"	"Emcn"
"Pecam1.1"	0	1.84714300149637	0.861	0.68	0	"1"	"Pecam1"
"Fabp5"	0	1.81171100054404	0.754	0.636	0	"1"	"Fabp5"
"1810011O10Rik"	0	1.71139604086522	0.725	0.616	0	"1"	"1810011O10Rik"
"Gimap6.1"	0	1.69991723741181	0.788	0.643	0	"1"	"Gimap6"
"Tm4sf1.1"	0	1.67220867726882	0.86	0.747	0	"1"	"Tm4sf1"
"Mgll.1"	0	1.65272680336875	0.811	0.595	0	"1"	"Mgll"
"Flt1"	0	1.64624609921588	0.848	0.653	0	"1"	"Flt1"
"Adgrl4"	0	1.64204056203402	0.709	0.599	0	"1"	"Adgrl4"
"Srgn.1"	0	1.49919199103649	0.834	0.617	0	"1"	"Srgn"
"Klf2.1"	0	1.44883350747604	0.969	0.841	0	"1"	"Klf2"
"Sgk1.1"	0	1.44670642509191	0.826	0.704	0	"1"	"Sgk1"
"Nrp1.1"	0	1.39977619448056	0.857	0.626	0	"1"	"Nrp1"
"Cdkn1c"	0	1.24328358365256	0.765	0.635	0	"1"	"Cdkn1c"
"Hspb1.1"	0	1.05554104802391	0.922	0.6	0	"1"	"Hspb1"
"Sparcl1"	0	0.935767702044938	0.89	0.787	0	"1"	"Sparcl1"
"Myct1.1"	2.63563429138502e-293	1.58193729110011	0.685	0.554	5.27126858277004e-290	"1"	"Myct1"
