"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Atp5c1"	4.87127982340915e-59	-0.648481562119887	0.839	0.788	9.7425596468183e-56	"0"	"Atp5c1"
"H2-Eb1"	1.22383079525331e-58	-1.01568078369148	0.509	0.227	2.44766159050661e-55	"0"	"H2-Eb1"
"Myl1"	1.42860636847316e-57	-2.67153952395413	0.872	0.795	2.85721273694632e-54	"0"	"Myl1"
"1500011K16Rik"	1.04439337436324e-56	-0.510391667265324	0.491	0.505	2.08878674872649e-53	"0"	"1500011K16Rik"
"Ndufs7"	1.66568521754983e-56	-0.651001900451152	0.746	0.718	3.33137043509966e-53	"0"	"Ndufs7"
"Mbp"	2.5236550549876e-55	-0.97886560693553	0.619	0.376	5.0473101099752e-52	"0"	"Mbp"
"Mgll"	6.17565368327907e-54	-1.0697575409288	0.595	0.645	1.23513073665581e-50	"0"	"Mgll"
"Sox17"	1.6780843167569e-52	-0.718518201116884	0.711	0.553	3.3561686335138e-49	"0"	"Sox17"
"Jsrp1"	1.09962555839974e-51	-0.545951973231829	0.335	0.347	2.19925111679948e-48	"0"	"Jsrp1"
"Tnni2"	1.15390566496539e-51	-2.51853942526833	0.824	0.736	2.30781132993079e-48	"0"	"Tnni2"
"Uqcrfs1"	3.39206440559146e-51	-0.762206508535504	0.677	0.647	6.78412881118293e-48	"0"	"Uqcrfs1"
"Itpkb"	6.40224818958787e-51	-0.532547575746625	0.355	0.378	1.28044963791757e-47	"0"	"Itpkb"
"Ndufb9"	8.4289729942181e-51	-0.700457112243992	0.831	0.775	1.68579459884362e-47	"0"	"Ndufb9"
"Ndufa12"	8.39759584002854e-50	-0.723185903806605	0.777	0.726	1.67951916800571e-46	"0"	"Ndufa12"
"8430408G22Rik"	3.83343620690786e-49	-0.575164398608872	0.676	0.475	7.66687241381573e-46	"0"	"8430408G22Rik"
"Thrsp"	3.7872615017521e-48	-0.631243777006447	0.699	0.474	7.5745230035042e-45	"0"	"Thrsp"
"Fabp4"	9.41542969403218e-48	-2.8340151412664	0.874	0.87	1.88308593880644e-44	"0"	"Fabp4"
"Ndufc1"	1.1401699721893e-45	-0.78707482714767	0.732	0.693	2.28033994437859e-42	"0"	"Ndufc1"
"Usmg5"	1.33327543617211e-45	-0.887846219174634	0.858	0.787	2.66655087234421e-42	"0"	"Usmg5"
"Anxa3"	1.89930375748573e-43	-0.731961461308614	0.714	0.733	3.79860751497147e-40	"0"	"Anxa3"
"Ndufb2"	2.00746004344219e-43	-0.602862106134521	0.689	0.647	4.01492008688439e-40	"0"	"Ndufb2"
"Atp5g1"	2.19274178875593e-43	-1.20121553596445	0.84	0.782	4.38548357751187e-40	"0"	"Atp5g1"
"Cox8b"	3.44720277989484e-42	-1.65059897536372	0.549	0.519	6.89440555978969e-39	"0"	"Cox8b"
"C1qb"	1.34707458798535e-41	-0.546300944152426	0.36	0.169	2.6941491759707e-38	"0"	"C1qb"
"Iigp1"	3.70023819705512e-41	-0.525262157604949	0.663	0.468	7.40047639411025e-38	"0"	"Iigp1"
"Idh3b"	3.78718518078335e-41	-0.507118060974046	0.549	0.544	7.57437036156669e-38	"0"	"Idh3b"
"Rpl3l"	9.1786301399012e-40	-0.698774470494819	0.43	0.396	1.83572602798024e-36	"0"	"Rpl3l"
"Cox7b"	3.49279747155576e-39	-0.797938269072106	0.806	0.729	6.98559494311153e-36	"0"	"Cox7b"
